block,trial,image,type,thisN,thisTrialN,thisRepN,response.keys,response.rt,response.duration,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,Welcome.started,Start_text.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial_ex.started,fixation.started,fixation.stopped,trial_ex.stopped,faces.started,faces_image.started,response.started,serialPort.started,serialPort.stopped,faces.stopped,trial_loop.response.keys,faces_image.stopped,response.stopped,trial_loop.response.rt,trial_loop.response.duration,end_block.started,Endding.started,Endding.stopped,end_block.stopped,pressed_trials,participant,session,date,expName,psychopyVersion,frameRate,expStart,
2,30,faces/known/known_22.jpg,known,29,29,0,space,0.615521799999442,0.15278000000034808,0,29,29,29,110.46016319999944,,,,,,,,,110.45461859999978,111.4420199999995,112.27153300000009,112.23644869999953,112.26890009999988,112.27153300000009,112.27153300000009,0.032464200000504206,1.0176283999999214,114.24189389999992,space,,,0.615521799999442,0.15278000000034808,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,31,faces/unknown/unknown_49.jpg,unknown,30,30,0,None,,,0,30,30,30,114.2510886,,,,,,,,,114.24201139999968,115.22371719999956,115.99244569999973,115.96341359999951,115.98938999999973,115.99244569999973,115.99244569999973,0.025986200000261306,1.0117501000004268,117.96922300000006,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,32,faces/unknown/unknown_177.jpg,unknown,31,31,0,None,,,0,31,31,31,117.97526589999961,,,,,,,,,117.96934979999969,118.95692019999933,119.73789080000006,119.70832900000005,119.73523569999998,119.73789080000006,119.73789080000006,0.026910500000667525,1.0121718999998848,121.71699269999954,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,33,faces/unknown/unknown_218.jpg,unknown,32,32,0,None,,,0,32,32,32,121.72032859999945,,,,,,,,,121.71712529999968,122.70187540000006,123.51649550000002,123.48749619999944,123.5137451999999,123.51649550000002,123.51649550000002,0.02625979999993433,1.0173942000001261,125.48994849999963,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,34,faces/unknown/unknown_262.jpg,unknown,33,33,0,None,,,0,33,33,33,125.49589279999964,,,,,,,,,125.49007019999954,126.47780389999934,127.12566569999944,127.09633759999997,127.12334979999923,127.12566569999944,127.12566569999944,0.027020300000003772,1.011964899999839,129.09658489999947,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,35,faces/unknown/unknown_105.jpg,unknown,34,34,0,None,,,0,34,34,34,129.10472739999932,,,,,,,,,129.09669459999986,130.08985099999973,130.88086399999975,130.85104030000002,130.87844059999952,130.88086399999975,130.88086399999975,0.02739489999930811,1.017855499999314,132.85139449999951,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,36,faces/unknown/unknown_179.jpg,unknown,35,35,0,None,,,0,35,35,35,132.8537480999994,,,,,,,,,132.85153269999955,133.84117530000003,134.48325179999938,134.4537332,134.48093639999934,134.48325179999938,134.48325179999938,0.027212599999984377,1.0147242000002734,136.45954769999935,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,37,faces/unknown/unknown_294.jpg,unknown,36,36,0,None,,,0,36,36,36,136.46829889999935,,,,,,,,,136.4596662999993,137.4413158999996,138.0679743999999,138.03894609999952,138.0652345999997,138.0679743999999,138.0679743999999,0.026319499999772233,1.0160617999999886,140.04124239999965,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,38,faces/known/known_5.jpg,known,37,37,0,None,,,0,37,37,37,140.0471852999999,,,,,,,,,140.0413579999995,141.02905359999932,141.71396219999951,141.67840849999993,141.71136209999986,141.71396219999951,141.71396219999951,0.03296119999959046,1.023585799999637,143.68682589999935,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,39,faces/unknown/unknown_292.jpg,unknown,38,38,0,None,,,0,38,38,38,143.68960809999953,,,,,,,,,143.68694919999962,144.67164189999949,145.46448400000008,145.4360870999999,145.46204949999992,145.46448400000008,145.46448400000008,0.02597330000025977,1.014495700000225,147.43826829999944,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,40,faces/unknown/unknown_23.jpg,unknown,39,39,0,None,,,0,39,39,39,147.44090219999998,,,,,,,,,147.43838819999928,148.42941650000012,149.40993309999976,149.38083639999968,149.4073273999993,149.40993309999976,149.40993309999976,0.026490300000659772,1.0123122000004514,151.38683169999968,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,41,faces/unknown/unknown_175.jpg,unknown,40,40,0,None,,,0,40,40,40,151.39235430000008,,,,,,,,,151.38695449999977,152.37452529999973,153.06020949999947,153.0300198999994,153.05741239999952,153.06020949999947,153.06020949999947,0.02739449999990029,1.0217010000005757,155.03823889999967,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,42,faces/unknown/unknown_210.jpg,unknown,41,41,0,None,,,0,41,41,41,155.04059929999949,,,,,,,,,155.0383770999997,156.0229774999998,156.78128649999962,156.7536057999996,156.77863389999948,156.78128649999962,156.78128649999962,0.02501879999999801,1.018180900000516,158.75632319999931,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,43,faces/unknown/unknown_170.jpg,unknown,42,42,0,None,,,0,42,42,42,158.76179749999937,,,,,,,,,158.7564357000001,159.74370929999986,160.69800119999945,160.67028389999996,160.69567519999964,160.69800119999945,160.69800119999945,0.025396600000021863,1.0156177999997453,162.67136709999977,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,44,faces/known/known_19.jpg,known,43,43,0,space,0.5970132000002195,0.12791590000051656,0,43,43,43,162.67689619999965,,,,,,,,,162.6714880999998,163.6701081000001,164.4822269999995,164.45215269999971,164.47960869999952,164.4822269999995,164.4822269999995,0.02743800000007468,1.0162804000001415,166.45310040000004,space,,,0.5970132000002195,0.12791590000051656,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,45,faces/unknown/unknown_129.jpg,unknown,44,44,0,None,,,0,44,44,44,166.4587316999996,,,,,,,,,166.4532220000001,167.44036189999952,168.36625529999947,168.33801119999953,168.3638102999994,168.36625529999947,168.36625529999947,0.025807900000472728,1.0155912000000171,170.34363419999954,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,46,faces/unknown/unknown_145.jpg,unknown,45,45,0,None,,,0,45,45,45,170.35324429999946,,,,,,,,,170.34376479999992,171.33476079999946,172.13013799999953,172.10431759999938,172.1275538,172.13013799999953,172.13013799999953,0.023247999999512103,1.0099168999995527,174.10499359999994,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,47,faces/unknown/unknown_9.jpg,unknown,46,46,0,None,,,0,46,46,46,174.10734969999976,,,,,,,,,174.10510989999966,175.09510339999997,175.9510534000001,175.91972449999957,175.94871239999975,175.9510534000001,175.9510534000001,0.028993800000534975,1.0153290000007473,177.92586959999971,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,48,faces/unknown/unknown_86.jpg,unknown,47,47,0,None,,,0,47,47,47,177.93514689999938,,,,,,,,,177.92603209999925,178.91328109999995,179.81158079999932,179.78066259999923,179.80917969999973,179.81158079999932,179.81158079999932,0.028520200000457407,1.0171107000005577,181.78895179999927,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,49,faces/known/known_50.jpg,known,48,48,0,space,0.5142320000004474,0.14379850000022998,0,48,48,48,181.79165079999984,,,,,,,,,181.78906039999947,182.7735843999999,183.50868480000008,183.49480479999966,183.50632849999965,183.50868480000008,183.50868480000008,0.011535499999808962,1.0001002999997581,185.4951078999993,space,,,0.5142320000004474,0.14379850000022998,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,50,faces/unknown/unknown_45.jpg,unknown,49,49,0,None,,,0,49,49,49,185.5042569999996,,,,,,,,,185.49521920000007,186.48870329999954,187.44097359999978,187.4106667999995,187.43817249999938,187.44097359999978,187.44097359999978,0.027493999999933294,1.0171828000002279,189.41963080000005,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,51,faces/unknown/unknown_298.jpg,unknown,50,50,0,None,,,0,50,50,50,189.42202009999983,,,,,,,,,189.41976439999962,190.40361809999922,191.17313379999996,191.1436064999998,191.17065129999992,191.17313379999996,191.17313379999996,0.027048099999774422,1.0178553000005195,193.15180019999934,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,52,faces/unknown/unknown_247.jpg,unknown,51,51,0,None,,,0,51,51,51,193.1555389999994,,,,,,,,,193.15193779999936,194.13699389999965,195.03896689999965,195.01009470000008,195.03657509999994,195.03896689999965,195.03896689999965,0.0264882999999827,1.0121742999999697,197.01893729999938,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,53,faces/unknown/unknown_235.jpg,unknown,52,52,0,None,,,0,52,52,52,197.02185569999983,,,,,,,,,197.0191105999993,198.0034313999995,198.65162139999939,198.61994199999936,198.6483214,198.65162139999939,198.65162139999939,0.02838629999951081,1.016748600000028,200.62037839999994,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,54,faces/unknown/unknown_12.jpg,unknown,53,53,0,None,,,0,53,53,53,200.62833129999945,,,,,,,,,200.62054230000012,201.60938569999962,202.39946369999961,202.37128719999964,202.39632669999992,202.39946369999961,202.39946369999961,0.025064800000109244,1.0167530999997325,204.37348679999923,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,55,faces/known/known_39.jpg,known,54,54,0,space,0.6165066000003208,0.13553589999992255,0,54,54,54,204.37941150000006,,,,,,,,,204.37362519999988,205.37166399999933,206.07980749999933,206.04646599999978,206.07740680000006,206.07980749999933,206.07980749999933,0.0309465000000273,1.0221971999999369,208.05505360000006,space,,,0.6165066000003208,0.13553589999992255,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,56,faces/known/known_46.jpg,known,55,55,0,space,0.5237736999997651,0.14365449999968405,0,55,55,55,208.05809559999943,,,,,,,,,208.0551691999999,209.03958460000013,209.9396982999997,209.92523459999938,209.93700480000007,209.9396982999997,209.9396982999997,0.011777100000472274,0.9997789999997622,211.92493869999998,space,211.9340499,211.9340499,0.5237736999997651,0.14365449999968405,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,57,faces/unknown/unknown_53.jpg,unknown,56,56,0,None,,,0,56,56,56,211.9340499,,,,,,,,,211.9250879000001,212.91839849999997,213.78833309999936,213.7610678000001,213.78576559999965,213.78833309999936,213.78833309999936,0.024709499999516993,1.0098133000001326,215.7699548999999,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,58,faces/known/known_15.jpg,known,57,57,0,space,0.540933700000096,0.13706209999963903,0,57,57,57,215.77304279999953,,,,,,,,,215.77011549999952,216.76049689999945,217.60147749999942,217.57054679999965,217.59885679999934,217.60147749999942,217.60147749999942,0.028320800000074087,1.0171415000004345,219.5730165999994,space,,,0.540933700000096,0.13706209999963903,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,59,faces/known/known_32.jpg,known,58,58,0,space,0.5030853999996907,0.15232389999982843,0,58,58,58,219.5785879999994,,,,,,,,,219.57314529999985,220.5611712,221.4077374999997,221.37062220000007,221.40521999999964,221.4077374999997,221.4077374999997,0.034608599999955914,1.0206162000004042,223.37281540000004,space,,,0.5030853999996907,0.15232389999982843,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
2,60,faces/unknown/unknown_207.jpg,unknown,59,59,0,None,,,0,59,59,59,223.37851669999964,,,,,,,,,223.3729470999997,224.36071679999986,225.26817570000003,225.23972529999992,225.26544179999928,225.26817570000003,225.26817570000003,0.02572630000031495,1.0149310000006153,227.24535130000004,None,,,,,,,,,,101,003,2025-05-09_17h24.46.279,project,2024.2.4,None,2025-05-09 17h25.12.254845 +0700,
